Original,Log with 4 places,Log with 3 places,Log with 2 places
6.26162E-08,6.26338E-08,6.19856E-08,6.78291E-08
6.26162E-08,6.26338E-08,6.19856E-08,6.78291E-08
1.25232E-07,1.25233E-07,1.24948E-07,1.2704E-07
6.26162E-08,6.26165E-08,6.24739E-08,6.35199E-08
6.26162E-08,6.26165E-08,6.24739E-08,6.35199E-08
6.26162E-08,6.26165E-08,6.24739E-08,6.35199E-08
5.25976E-06,5.25978E-06,5.24781E-06,5.78032E-06
1.25232E-07,1.25233E-07,1.24948E-07,1.2704E-07
1.25232E-07,1.25226E-07,1.24941E-07,1.36805E-07
0.00366981,0.00366726,0.00365304,0.00387315
6.26162E-08,6.26132E-08,6.24707E-08,6.84025E-08
8.76626E-07,8.7663E-07,8.74634E-07,8.89279E-07
6.26162E-08,6.26165E-08,6.24739E-08,6.84061E-08
6.26162E-08,6.26165E-08,6.24739E-08,6.84061E-08
6.26162E-08,6.26165E-08,6.24739E-08,6.84061E-08
1.25232E-07,1.25233E-07,1.24948E-07,1.36812E-07
6.26162E-08,6.26165E-08,6.24739E-08,6.27056E-08
6.88778E-07,6.88781E-07,6.87213E-07,6.89761E-07
6.26162E-08,6.26165E-08,6.24739E-08,6.67774E-08
2.44203E-06,2.44204E-06,2.43648E-06,2.73787E-06
6.26162E-08,6.26165E-08,6.24739E-08,6.84061E-08
1.87848E-07,1.87849E-07,1.87422E-07,2.05218E-07
1.25232E-07,1.25184E-07,1.25302E-07,1.42111E-07
6.26162E-08,6.25919E-08,6.26512E-08,7.10556E-08
6.26162E-08,6.25919E-08,6.26512E-08,7.10556E-08
6.26162E-08,6.25919E-08,6.26512E-08,7.10556E-08
6.26162E-08,6.25919E-08,6.26512E-08,7.10556E-08
6.26162E-08,6.25919E-08,6.26512E-08,7.10556E-08
1.25232E-07,1.25184E-07,1.25302E-07,1.42111E-07
6.26162E-08,6.25919E-08,6.26512E-08,7.10556E-08
1.25232E-07,1.25184E-07,1.25302E-07,1.42111E-07
5.00929E-07,5.00736E-07,5.0121E-07,5.68445E-07
1.25232E-07,1.25184E-07,1.25302E-07,1.42111E-07
6.26162E-08,6.25919E-08,6.26512E-08,7.10556E-08
3.13081E-07,3.1296E-07,3.13256E-07,3.55278E-07
6.26162E-08,6.25919E-08,6.31555E-08,6.80109E-08
1.25232E-07,1.25184E-07,1.26311E-07,1.36022E-07
6.26162E-08,6.25919E-08,6.31555E-08,6.23433E-08
6.88778E-07,6.88511E-07,6.9471E-07,6.85777E-07
1.25232E-07,1.25184E-07,1.26311E-07,1.36022E-07
2.50465E-06,2.50368E-06,2.52622E-06,2.78845E-06
6.26162E-08,6.25919E-08,6.31555E-08,6.80109E-08
6.26162E-08,6.25919E-08,6.31555E-08,6.80109E-08
3.13081E-07,3.1296E-07,3.15777E-07,3.40054E-07
0.000760974,0.000760868,0.000762792,0.000770223
0.000760974,0.000760868,0.000762792,0.000770223
6.26162E-08,6.25919E-08,6.31555E-08,6.80109E-08
6.26162E-08,6.25919E-08,6.31555E-08,6.80109E-08
7.51394E-07,7.51103E-07,7.57866E-07,8.41635E-07
3.13081E-07,3.1296E-07,3.15777E-07,3.82561E-07
3.75697E-07,3.75552E-07,3.78933E-07,4.08065E-07
3.75697E-07,3.75552E-07,3.78933E-07,4.08065E-07
1.87848E-07,1.87776E-07,1.89466E-07,2.04033E-07
1.25232E-07,1.25184E-07,1.25302E-07,1.52457E-07
1.25232E-07,1.25184E-07,1.25302E-07,1.52457E-07
6.26162E-08,6.25919E-08,6.26512E-08,7.62283E-08
6.26162E-08,6.25919E-08,6.26512E-08,7.62283E-08
6.26162E-08,6.25919E-08,6.26512E-08,7.62283E-08
6.26162E-08,6.25919E-08,6.26512E-08,7.62283E-08
6.26162E-08,6.25919E-08,6.26512E-08,7.62283E-08
6.26162E-08,6.25919E-08,6.21111E-08,8.35836E-08
1.25232E-07,1.25184E-07,1.24222E-07,1.67167E-07
1.87848E-07,1.87776E-07,1.86333E-07,2.50751E-07
1.87848E-07,1.87776E-07,1.86333E-07,2.50751E-07
6.26162E-08,6.25919E-08,6.21111E-08,7.52253E-08
1.87848E-07,1.87776E-07,1.86333E-07,2.25676E-07
6.26162E-08,6.25919E-08,6.21111E-08,7.52253E-08
1.87848E-07,1.87776E-07,1.86333E-07,2.13138E-07
2.50465E-07,2.50368E-07,2.48445E-07,2.84184E-07
1.87848E-06,1.87776E-06,1.86333E-06,2.06034E-06
6.26162E-08,6.25919E-08,6.21111E-08,7.52253E-08
3.13081E-07,3.1296E-07,3.10556E-07,3.76126E-07
6.26162E-08,6.25919E-08,6.21111E-08,7.52253E-08
3.5065E-06,3.50515E-06,3.47822E-06,4.21261E-06
6.26162E-08,6.25919E-08,6.21111E-08,7.52253E-08
6.26162E-08,6.25919E-08,6.21111E-08,7.52253E-08
1.10204E-05,1.10127E-05,1.09813E-05,1.1128E-05
6.26162E-08,6.2572E-08,6.27504E-08,6.46975E-08
6.26162E-08,6.2572E-08,6.27504E-08,6.46975E-08
2.50465E-07,2.50288E-07,2.51002E-07,2.5879E-07
6.26162E-08,6.2572E-08,6.27504E-08,6.46975E-08
6.26162E-08,6.2572E-08,6.27504E-08,6.46975E-08
6.26162E-08,6.2572E-08,6.27504E-08,6.46975E-08
6.26162E-08,6.2572E-08,6.27504E-08,6.80829E-08
1.25232E-07,1.25144E-07,1.25501E-07,1.36166E-07
3.13081E-07,3.1286E-07,3.13752E-07,3.40414E-07
